Designator,Footprint,Quantity,Value,LCSC Part #
AE2,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Shield,
"C1, C13, C14, C2, C30, C32, C33, C35, C36, C37, C8, C9",0402,12,100n,
"C10, C12, C34, C39, C5",0603,5,10u,
C11,0603,1,2.2u,
"C27, C28",0402,2,22p,
"C29, C31",0402,2,3.3p,
C6,0805,1,22u,
C7,0402,1,10n,
"D1, D4",0805,2,LED,C205445
D3,D_SOD-323,1,BAT60A,
D5,D_SOD-923,1,SZESD9B5.0ST5G,
J1,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,
"J10, J3, J4, J5, J6",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
L1,1008,1,2.2u,
L2,0603,1,2.2n,
"L5, L6",0402,2,2.2n,
Q1,SOT-23,1,AO3401A,
"R1, R5",0402,2,1k,C163928
R12,0402,1,10,
"R13, R14, R2, R7, R8",0402,5,10k,
R3,0402,1,470k,
R4,0402,1,100k,
R6,0402,1,15k,
SW3,SW_Push_SPST_NO_Alps_SKRK,1,Reset,C115357
SW4,SW_Push_SPST_NO_Alps_SKRK,1,Boot,C115357
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint,
U1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
U2,TSOT-23-6,1,LTC4412xS6,
U3,SOT-666,1,USBLC6-2P6,
U4,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62172DSG,
U5,Texas_RTY_WQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias,1,DRV8833RTY,
U7,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
